,category,exceptionnum,meterid,similary,smallratio
99,-1,0,meterId201905291848281980103000002859,inf,0.0
100,-1,0,meterId201904101801522510103859112904,inf,0.0
101,-1,0,meterId201903281503141800103677587790,inf,0.0
104,-1,0,meterId201902211535092670103337328511,inf,0.0
105,-1,0,meterId201905291848281980103000002911,inf,0.0
107,-1,0,meterId201812200933000230103522222290,inf,0.0
108,-1,0,meterId201905291421257140103120357921,inf,0.0
109,-1,0,meterId201903261944457230103227381809,inf,0.0
110,-1,0,meterId201905291848281980103000002858,inf,0.0
111,-1,0,meterId201905291848281980103000002864,inf,0.0
112,-1,0,meterId201905291848281980103000002870,inf,0.0
113,-1,0,meterId201903130952591750103822483668,inf,0.0
116,-1,0,meterId201902261633416140103989595916,inf,0.0
117,-1,0,meterId201904011640200570103571229009,inf,0.0
293,-1,0,meterId201905291848281980103000002808,inf,0.0
