
CR_ID,EQ_ID,Data_Date,EQ_NO,Reading_Time,Reading_Value,Working_Flow,Standard_Flow,Working_Sum,Pressure,Temperature,Standard_Sum,TENANT_ID
19011907594340063079,201901141728344420103096709946,2019-01-17 17:00:00,818120198068,19/1/2019 07:59:44,0,0.0,0.0,3.8221,102.3281,9.75,3.9384,263
19011907594340063080,201901141728344420103096709946,2019-01-17 18:00:00,818120198068,19/1/2019 07:59:44,0,0.0,0.0,3.8221,101.8438,8.0,3.9384,263
19011907594340063081,201901141728344420103096709946,2019-01-17 19:00:00,818120198068,19/1/2019 07:59:44,0,0.0,0.0,3.8221,101.6016,6.3125,3.9384,263
19011907594340063082,201901141728344420103096709946,2019-01-17 20:00:00,818120198068,19/1/2019 07:59:44,0,0.0,0.0,3.8221,101.5703,5.0625,3.9384,263
19012007593740302568,201901141728344420103096709946,2019-01-17 21:00:00,818120198068,20/1/2019 07:59:38,0,0.0,0.0,3.8221,101.6016,4.25,3.9384,263
19012007593740302569,201901141728344420103096709946,2019-01-17 22:00:00,818120198068,20/1/2019 07:59:38,0,0.0,0.0,3.8221,101.6719,3.625,3.9384,263
19012007593740302570,201901141728344420103096709946,2019-01-17 23:00:00,818120198068,20/1/2019 07:59:38,0,0.0,0.0,3.8221,101.6719,3.0,3.9384,263
19012007593740302571,201901141728344420103096709946,2019-01-18 00:00:00,818120198068,20/1/2019 07:59:38,0,0.0,0.0,3.8221,101.75,2.5625,3.9384,263
19012007594540302574,201901141728344420103096709946,2019-01-18 01:00:00,818120198068,20/1/2019 07:59:46,0,0.0,0.0,3.8221,101.7344,2.0625,3.9384,263
19012007594540302575,201901141728344420103096709946,2019-01-18 02:00:00,818120198068,20/1/2019 07:59:46,0,0.0,0.0,3.8221,101.7344,1.625,3.9384,263
19012007594540302576,201901141728344420103096709946,2019-01-18 03:00:00,818120198068,20/1/2019 07:59:46,0,0.0,0.0,3.8221,101.7656,1.25,3.9384,263
19012007594540302577,201901141728344420103096709946,2019-01-18 04:00:00,818120198068,20/1/2019 07:59:46,0,0.0,0.0,3.8221,101.7969,1.0,3.9384,263
19012007595540302578,201901141728344420103096709946,2019-01-18 05:00:00,818120198068,20/1/2019 07:59:56,0,0.0,0.0,3.8221,101.7344,0.8125,3.9384,263
19012007595540302579,201901141728344420103096709946,2019-01-18 06:00:00,818120198068,20/1/2019 07:59:56,0,0.0,0.0,3.8221,101.6875,0.5,3.9384,263
19012007595540302580,201901141728344420103096709946,2019-01-18 07:00:00,818120198068,20/1/2019 07:59:56,0,0.0,0.0,3.8221,101.6719,0.25,3.9384,263
19012007595540302581,201901141728344420103096709946,2019-01-18 08:00:00,818120198068,20/1/2019 07:59:56,0,0.0,0.0,3.8221,101.7344,0.125,3.9384,263
19012008000340302582,201901141728344420103096709946,2019-01-18 09:00:00,818120198068,20/1/2019 08:00:04,0,0.0,0.0,3.8221,101.9922,0.625,3.9384,263
19012008000340302583,201901141728344420103096709946,2019-01-18 10:00:00,818120198068,20/1/2019 08:00:04,0,0.0,0.0,3.8221,102.3047,1.8125,3.9384,263
19012008000340302584,201901141728344420103096709946,2019-01-18 11:00:00,818120198068,20/1/2019 08:00:04,0,0.0,0.0,3.8221,102.5781,3.6875,3.9384,263
19012008000340302585,201901141728344420103096709946,2019-01-18 12:00:00,818120198068,20/1/2019 08:00:04,0,0.0,0.0,3.8221,102.6953,5.625,3.9384,263
19012008001140302586,201901141728344420103096709946,2019-01-18 13:00:00,818120198068,20/1/2019 08:00:12,0,0.0,0.0,3.8221,102.7422,7.6875,3.9384,263
19012008001140302587,201901141728344420103096709946,2019-01-18 14:00:00,818120198068,20/1/2019 08:00:12,0,0.0,0.0,3.8221,102.6094,9.25,3.9384,263
19012008001140302588,201901141728344420103096709946,2019-01-18 15:00:00,818120198068,20/1/2019 08:00:12,0,0.0,0.0,3.8221,102.5469,10.8125,3.9384,263
19012008001140302589,201901141728344420103096709946,2019-01-18 16:00:00,818120198068,20/1/2019 08:00:12,0,0.0,0.0,3.8221,101.8281,9.9375,3.9384,263
