,category,exceptionnum,meterid,similary,smallratio
542,-1,0,meterId201808021620055620103177690037,inf,0.0
541,-1,0,meterId201808021610540800103260391474,inf,0.0
527,-1,0,meterId201807261556094480103080674517,inf,0.0
510,-1,0,meterId201807201242147860103569756689,inf,0.0
509,-1,0,meterId201807201130205130103400776574,inf,0.0
503,-1,0,meterId201807181241501230103441891490,inf,0.0
501,-1,0,meterId201807181222155640103047764462,inf,0.0
498,-1,0,meterId201807171608089490103390822001,inf,0.0
494,-1,0,meterId201807170856328150103816572441,inf,0.0
415,-1,0,meterId201805290846594860103125050919,inf,0.0
476,-1,0,meterId201807092245462470103208960154,inf,0.0
474,-1,0,meterId201807091529283850103393861835,inf,0.0
446,-1,0,meterId201806201032181660103455070824,inf,0.0
429,-1,0,meterId201806021609458670103402475242,inf,0.0
428,-1,0,meterId201806011118453470103943510804,inf,0.0
427,-1,0,meterId201806011113001250103613226978,inf,0.0
426,-1,0,meterId201806011107132650103639022920,inf,0.0
423,-1,0,meterId201805311541303350103647320550,inf,0.0
422,-1,0,meterId201805311532586770103544508774,inf,0.0
418,-1,0,meterId201805300914253940103964625774,inf,0.0
416,-1,0,meterId201805291613361740103347467717,inf,0.0
347,-1,0,meterId201804192056416460103010413776,inf,0.0
345,-1,0,meterId201804171451454450103668479347,inf,0.0
1288,-1,0,meterId201812070935240540103392622726,inf,0.0
342,-1,0,meterId201804151411056380103027713977,inf,0.0
218,-1,0,meterId201712051112540830103156697849,inf,0.0
187,-1,0,meterId201711211926127750103000009915,inf,0.0
185,-1,0,meterId201711211926127630103000009927,inf,0.0
177,-1,0,meterId201711211926125870103000007695,inf,0.0
175,-1,0,meterId201711211926125550103000007699,inf,0.0
173,-1,0,meterId201711211926125010103000009923,inf,0.0
170,-1,0,meterId201711211926124230103000009919,inf,0.0
169,-1,0,meterId201711211926123990103000009943,inf,0.0
165,-1,0,meterId201711211926123550103000007663,inf,0.0
160,-1,0,meterId201711211926122540103000009867,inf,0.0
157,-1,0,meterId201711211926121980103000007679,inf,0.0
153,-1,0,meterId201711211926121320103000009895,inf,0.0
150,-1,0,meterId201711211926121160103000015275,inf,0.0
140,-1,0,meterId201711141817559870103112132576,inf,0.0
106,-1,0,meterId201710251919589840103733517959,inf,0.0
105,-1,0,meterId201710251919589840103733399593,inf,0.0
81,-1,0,meterId201710251919589840103305395456,inf,0.0
70,-1,0,meterId201710251919589840103046697138,inf,0.0
69,-1,0,meterId201710251351220250103399497536,inf,0.0
61,-1,0,meterId201710231921093090103874212436,inf,0.0
56,-1,0,meterId201710231921093090103778151107,inf,0.0
47,-1,0,meterId201710231921093090103680157677,inf,0.0
37,-1,0,meterId201710231921093090103551855583,inf,0.0
30,-1,0,meterId201710231921093090103418868530,inf,0.0
21,-1,0,meterId201710231921093090103219736751,inf,0.0
229,-1,0,meterId201712111309432420103843357218,inf,0.0
231,-1,0,meterId201712120958110770103654817135,inf,0.0
237,-1,0,meterId201712151421491180103104597525,inf,0.0
326,-1,0,meterId201804060928021730103788141858,inf,0.0
341,-1,0,meterId201804131419497070103292526066,inf,0.0
340,-1,0,meterId201804131000041640103321620026,inf,0.0
339,-1,0,meterId201804121408470960103307382428,inf,0.0
338,-1,0,meterId201804101625431140103461306497,inf,0.0
337,-1,0,meterId201804101124034500103011301370,inf,0.0
336,-1,0,meterId201804100844445510103784133899,inf,0.0
335,-1,0,meterId201804100833445640103348853259,inf,0.0
330,-1,0,meterId201804071005190750103583850752,inf,0.0
329,-1,0,meterId201804061447250150103462488044,inf,0.0
328,-1,0,meterId201804060953265320103523286770,inf,0.0
327,-1,0,meterId201804060938199000103889187584,inf,0.0
324,-1,0,meterId201804041545573230103613089459,inf,0.0
247,-1,0,meterId201712251133329510103064496016,inf,0.0
323,-1,0,meterId201804041543390500103598617240,inf,0.0
322,-1,0,meterId201804041540082830103985993327,inf,0.0
321,-1,0,meterId201804041457045550103619018747,inf,0.0
320,-1,0,meterId201804041449174870103910637001,inf,0.0
319,-1,0,meterId201803311447331840103817570598,inf,0.0
315,-1,0,meterId201803301155394750103638859267,inf,0.0
297,-1,0,meterId201802081057142200103403456889,inf,0.0
282,-1,0,meterId201801261038120460103084397567,inf,0.0
279,-1,0,meterId201801192101160470103015107282,inf,0.0
265,-1,0,meterId201801030942189030103037999044,inf,0.0
254,-1,0,meterId201712282112173760103173981759,inf,0.0
570,-1,0,meterId201808090920390550103000000996,inf,0.0
574,-1,0,meterId201808090920390810103000001008,inf,0.0
576,-1,0,meterId201808090920390960103000000644,inf,0.0
588,-1,0,meterId201808090920391990103000000864,inf,0.0
1200,-1,0,meterId201811191055597770103273166540,inf,0.0
1197,-1,0,meterId201811181047295660103839124681,inf,0.0
1190,-1,0,meterId201811151802432520103533007282,inf,0.0
1189,-1,0,meterId201811151703300170103999776009,inf,0.0
1186,-1,0,meterId201811151646576820103919826226,inf,0.0
1185,-1,0,meterId201811151628389530103145912958,inf,0.0
1183,-1,0,meterId201811151555589540103434221576,inf,0.0
1182,-1,0,meterId201811151531550460103744442928,inf,0.0
1180,-1,0,meterId201811151139262560103535144439,inf,0.0
1179,-1,0,meterId201811151122542430103416667868,inf,0.0
1176,-1,0,meterId201811151022192350103957646215,inf,0.0
1165,-1,0,meterId201811140851164290103025054608,inf,0.0
1164,-1,0,meterId201811140849498330103350299963,inf,0.0
1160,-1,0,meterId201811131330194830103972065738,inf,0.0
1148,-1,0,meterId201811101628465900103638261845,inf,0.0
1146,-1,0,meterId201811101544041460103546770332,inf,0.0
1143,-1,0,meterId201811091856033460103776433289,inf,0.0
1142,-1,0,meterId201811091706012270103057101689,inf,0.0
1141,-1,0,meterId201811091659262920103753103907,inf,0.0
1136,-1,0,meterId201811091538369340103204170495,inf,0.0
1130,-1,0,meterId201811081745585290103324330381,inf,0.0
1117,-1,0,meterId201811070944070100103930545761,inf,0.0
1112,-1,0,meterId201811061257324280103095827793,inf,0.0
1111,-1,0,meterId201811061255220330103038128303,inf,0.0
1110,-1,0,meterId201811061253174630103047671345,inf,0.0
1205,-1,0,meterId201811191815532450103699142966,inf,0.0
1206,-1,0,meterId201811191819221260103221772256,inf,0.0
1207,-1,0,meterId201811201140576730103389339755,inf,0.0
1271,-1,0,meterId201812051126494270103579631406,inf,0.0
1287,-1,0,meterId201812062114451340103958708762,inf,0.0
1286,-1,0,meterId201812062113485960103275078789,inf,0.0
1285,-1,0,meterId201812062057163930103894432116,inf,0.0
1284,-1,0,meterId201812062048285310103788988587,inf,0.0
1283,-1,0,meterId201812062047319680103214792697,inf,0.0
1282,-1,0,meterId201812062017482270103552779406,inf,0.0
1281,-1,0,meterId201812062016457080103326641958,inf,0.0
1280,-1,0,meterId201812061728192260103303199054,inf,0.0
1279,-1,0,meterId201812061726332890103346441445,inf,0.0
1278,-1,0,meterId201812061657271540103433701148,inf,0.0
1275,-1,0,meterId201812061412469930103159758946,inf,0.0
1259,-1,0,meterId201812011626338260103780787033,inf,0.0
1208,-1,0,meterId201811201144013380103543360033,inf,0.0
1256,-1,0,meterId201812011044162950103422643448,inf,0.0
1252,-1,0,meterId201811301134400530103452328179,inf,0.0
1250,-1,0,meterId201811301047561130103044297042,inf,0.0
1249,-1,0,meterId201811300949324820103594638343,inf,0.0
1248,-1,0,meterId201811291745001150103973806486,inf,0.0
1246,-1,0,meterId201811291606557430103368463131,inf,0.0
1244,-1,0,meterId201811291133060090103346239131,inf,0.0
1242,-1,0,meterId201811291051520820103507381869,inf,0.0
1238,-1,0,meterId201811281108199160103887178261,inf,0.0
1210,-1,0,meterId201811201637577830103323359619,inf,0.0
1209,-1,0,meterId201811201356511440103163002140,inf,0.0
1109,-1,0,meterId201811061245086350103089814752,inf,0.0
1108,-1,0,meterId201811061242068090103522698552,inf,0.0
1107,-1,0,meterId201811061225220760103228029750,inf,0.0
760,-1,0,meterId201808251531074100103708076622,inf,0.0
884,-1,0,meterId201809291038232350103528634163,inf,0.0
868,-1,0,meterId201809271606326430103193535449,inf,0.0
866,-1,0,meterId201809271212433200103076070096,inf,0.0
863,-1,0,meterId201809271059241750103304341673,inf,0.0
860,-1,0,meterId201809261645204490103982342971,inf,0.0
854,-1,0,meterId201809211645223980103305581743,inf,0.0
849,-1,0,meterId201809201456338780103014678361,inf,0.0
828,-1,0,meterId201809141049548340103481228285,inf,0.0
776,-1,0,meterId201808291557534840103650818721,inf,0.0
762,-1,0,meterId201808251621492220103148671179,inf,0.0
761,-1,0,meterId201808251601004250103168752897,inf,0.0
758,-1,0,meterId201808241756424160103736892824,inf,0.0
933,-1,0,meterId201810091620068110103149624214,inf,0.0
757,-1,0,meterId201808241723584630103733458178,inf,0.0
755,-1,0,meterId201808241704582620103645986069,inf,0.0
754,-1,0,meterId201808241550208650103202728870,inf,0.0
752,-1,0,meterId201808230952457010103647081194,inf,0.0
734,-1,0,meterId201808161146487050103378902933,inf,0.0
726,-1,0,meterId201808131728307840103622130504,inf,0.0
712,-1,0,meterId201808092043008840103464325375,inf,0.0
700,-1,0,meterId201808090920399110103000000692,inf,0.0
651,-1,0,meterId201808090920396500103000000672,inf,0.0
637,-1,0,meterId201808090920395760103000000972,inf,0.0
605,-1,0,meterId201808090920393490103000001048,inf,0.0
925,-1,0,meterId201810081623522860103615471553,inf,0.0
937,-1,0,meterId201810110945158200103014272301,inf,0.0
1102,-1,0,meterId201811051630021230103404508950,inf,0.0
1031,-1,0,meterId201810221516527630103423506224,inf,0.0
1098,-1,0,meterId201811031007331210103940037688,inf,0.0
1089,-1,0,meterId201810311540323300103752424233,inf,0.0
1084,-1,0,meterId201810311110482330103871088307,inf,0.0
1079,-1,0,meterId201810291633201340103359058916,inf,0.0
1075,-1,0,meterId201810291325423480103042285277,inf,0.0
1073,-1,0,meterId201810290916405490103723654091,inf,0.0
1072,-1,0,meterId201810290859055130103508340303,inf,0.0
1070,-1,0,meterId201810281248386150103291181731,inf,0.0
1057,-1,0,meterId201810241202561290103628332879,inf,0.0
1052,-1,0,meterId201810231144108790103578817384,inf,0.0
1037,-1,0,meterId201810221956469110103634492148,inf,0.0
1028,-1,0,meterId201810221206477550103917715662,inf,0.0
940,-1,0,meterId201810111617316680103791022028,inf,0.0
998,-1,0,meterId201810171017326110103008940352,inf,0.0
991,-1,0,meterId201810161640287920103769394793,inf,0.0
980,-1,0,meterId201810161622070870103228858553,inf,0.0
974,-1,0,meterId201810161612037370103938512164,inf,0.0
961,-1,0,meterId201810161527355360103311331106,inf,0.0
959,-1,0,meterId201810161513233100103891421294,inf,0.0
958,-1,0,meterId201810161028240180103504462419,inf,0.0
955,-1,0,meterId201810160929192130103232176092,inf,0.0
954,-1,0,meterId201810160914069690103046925920,inf,0.0
947,-1,0,meterId201810121748440860103858142713,inf,0.0
941,-1,0,meterId201810111731105050103986467069,inf,0.0
1695,-1,0,meterId201905311708453500103332344514,inf,0.0
