,category,exceptionnum,meterid,similary,smallratio
495,4,0,meterId201807171114365270103993988368,1.871651500211557,0.0
463,4,1,meterId201807051300295460103980433963,1.8683758728818092,0.0
811,4,0,meterId201809061136265700103497262739,1.864160290246241,0.0
129,4,0.0,meterId201711141748446930103874402243,1.8640466553796138,0.10176125244618395
132,4,1.0,meterId201711141756279740103080161914,1.863455685908921,0.0019569471624266144
62,4,0,meterId201710231921093090103896447639,1.8619731684205874,0.0
708,4,0,meterId201808090920399670103000001052,1.8616914249233936,0.0
806,4,0.0,meterId201809051610343860103095956875,1.8597527197883748,0.003861003861003861
1301,4,0,meterId201812091409278450103049105651,1.8521488141463482,0.0
1077,4,0.0,meterId201810291550107250103550602988,1.8515286344055468,0.0
17,4,0,meterId201710231921093090103165893866,1.8490774823240879,0.0
172,4,0,meterId201711211926124730103000009987,1.8480648051400608,0.0
208,4,0,meterId201711251506235030103083212470,1.8461604683076827,0.0
698,4,0,meterId201808090920399080103000001096,1.8460737162097491,0.0
317,4,0,meterId201803311141454790103287468909,1.8401848572937163,0.0
128,4,1.0,meterId201711141744426760103214630689,1.8373434553377541,0.005870841487279843
26,4,0,meterId201710231921093090103320559027,1.8369205303324165,0.0
550,4,0,meterId201808041218255410103286345447,1.832997053822833,0.0
973,4,0,meterId201810161609163560103334117869,1.8324647439983581,0.0
931,4,1.0,meterId201810091544106510103156194527,1.817903098488157,0.017316017316017316
368,4,0,meterId201805041640307880103043739188,1.8009473606201207,0.0
303,4,0,meterId201802280914384820103423791116,1.8005337353446176,0.0
149,4,0.0,meterId201711211926121090103000009955,1.7990493790556499,0.0
3,4,0.0,meterId201710211928192140103656812805,1.7895203499718229,0.0019569471624266144
388,4,0,meterId201805171634300750103506383829,1.7785041251222682,0.0
870,4,0,meterId201809271643282070103877873945,1.7727771102606653,0.0
215,4,1,meterId201712021444241630103435303864,1.771412802780611,0.0
753,4,0.0,meterId201808241100261130103097600113,1.7687688753409008,0.0
971,4,0,meterId201810161605393410103515871077,1.7675534490826792,0.0
138,4,0.0,meterId201711141811124460103984573078,1.7569163912729557,0.0
843,4,0,meterId201809181616572570103915232038,1.7514049323438738,0.0
987,4,0,meterId201810161632449510103227471176,1.7470723138880022,0.0
213,4,0.0,meterId201711291203532010103802371226,1.741723808650358,0.0
1262,4,0,meterId201812031016595600103420710406,1.738644266466428,0.0
830,4,0,meterId201809141722159820103859181012,1.7363677347707627,0.0
12,4,1,meterId201710231921093090103080433926,1.7325785706597008,0.0
890,4,0,meterId201809291213393330103019250308,1.7317010401044242,0.0
559,4,0,meterId201808090920390090103000000744,1.7312683601845928,0.0
1022,4,0,meterId201810211103457160103597032119,1.7306303804585066,0.0
1046,4,0,meterId201810222017302690103209797562,1.7275935684220403,0.0
1312,4,1.0,meterId201812111329272860103057119305,1.7184832556401208,0.0
453,4,0,meterId201806251542145010103075381258,1.7169926197003917,0.0
561,4,0,meterId201808090920390160103000001140,1.7164651075635748,0.0
1043,4,0,meterId201810222010497560103839620103,1.715310101896066,0.0
905,4,0,meterId201809301705023790103790894590,1.713000911734402,0.0
464,4,0,meterId201807051619012260103829833228,1.705386523714279,0.0
351,4,0,meterId201804211517187880103959160393,1.702198778740117,0.0
967,4,2,meterId201810161543044220103733565365,1.69855439040028,0.0
8,4,2,meterId201710231921093090103031054173,1.6943671016153867,0.0
855,4,0,meterId201809251037234540103458038002,1.6941733686286817,0.0
1309,4,0.0,meterId201812101659033320103027577657,1.6889362781990949,0.0
159,4,4,meterId201711211926122450103000009951,1.6882387972933184,0.0
1002,4,0.0,meterId201810181101456290103491781596,1.685080970767786,0.009216589861751152
1059,4,0,meterId201810241207017450103049219027,1.6850711043207822,0.0
875,4,0,meterId201809281514421470103078712933,1.6771573920631369,0.0
359,4,0,meterId201804271638290810103884253577,1.674895956238008,0.0
759,4,0.0,meterId201808251049022710103233137368,1.6725067795785757,0.007326007326007326
1023,4,0,meterId201810211315424660103554995176,1.6713901496820553,0.0
558,4,0,meterId201808090920390010103000001252,1.6681234045753637,0.0
943,4,0,meterId201810121100329500103031814174,1.6654527614479666,0.0
1181,4,0,meterId201811151520113680103975600759,1.6619281752523385,0.0
978,4,0,meterId201810161619045930103563943103,1.661855883586375,0.0
1032,4,0.0,meterId201810221659553870103957629897,1.6586317885529527,0.0
1114,4,3.0,meterId201811061550132550103450511633,1.6568474297730325,0.0
653,4,0,meterId201808090920396530103000001168,1.653755308327833,0.0
1058,4,0,meterId201810241205241020103816787948,1.6530677522811368,0.0
210,4,2.0,meterId201711272025113160103785813374,1.6495919546552946,0.0
1083,4,0,meterId201810311059572970103132126180,1.6479000656006415,0.0
1033,4,0.0,meterId201810221703109030103079284168,1.64488187921518,0.004608294930875576
52,4,0,meterId201710231921093090103744161655,1.6438377348012014,0.0
480,4,0,meterId201807111050169780103823395855,1.6404503287252417,0.0
625,4,0,meterId201808090920394760103000000940,1.6372151272148276,0.0
1313,4,0,meterId201812111403097880103356932402,1.631606520636576,0.0
675,4,1,meterId201808090920397730103000000740,1.628987294463245,0.0
567,4,0,meterId201808090920390370103000001104,1.627094311168193,0.0
296,4,0,meterId201802080949087870103844394331,1.6270688592092475,0.0
596,4,0,meterId201808090920392780103000001152,1.6270051753404948,0.0
512,4,0,meterId201807201808199650103097114569,1.6254522003718708,0.0
572,4,0,meterId201808090920390790103000000764,1.617546153797379,0.0
646,4,0,meterId201808090920396180103000000880,1.6174793167925874,0.0
136,4,0.0,meterId201711141806549370103160308006,1.6112888137096917,0.007827788649706457
1234,4,0.0,meterId201811261515131750103957154795,1.607958545396657,0.0
374,4,0,meterId201805100946211380103568527119,1.6078413893690569,0.0
612,4,0,meterId201808090920394090103000001064,1.6057290214272775,0.0
1310,4,0.0,meterId201812111247363420103043076998,1.604384382879493,0.005952380952380952
460,4,0,meterId201807041729406080103852720985,1.60165016114736,0.0
1389,4,0.0,meterId201901080837179710103192626388,1.6014670169338037,0.007142857142857143
1011,4,0,meterId201810191037212150103975313118,1.5997122059957642,0.0
1375,4,0.0,meterId201901041510025370103812510049,1.5951747589231684,0.0
1087,4,0.0,meterId201810311513349100103010163003,1.5940096992408517,0.0
672,4,0,meterId201808090920397530103000001132,1.5939254344536609,0.0
408,4,0,meterId201805251516503970103969427041,1.5921931199914952,0.0
504,4,0,meterId201807191108304400103434934227,1.5860243922402535,0.0
543,4,0,meterId201808021726475510103939299051,1.5849731726260081,0.0
624,4,0,meterId201808090920394750103000001172,1.5838123431964848,0.0
1080,4,1.0,meterId201810301045275060103641691455,1.5773920503392214,0.0
970,4,0,meterId201810161602019330103343145479,1.576353421631745,0.0
127,4,0.0,meterId201711141740550540103124787620,1.5700268936619004,0.0
630,4,0,meterId201808090920395260103000001196,1.5611269586068288,0.0
364,4,0,meterId201805021628008460103376397618,1.5608648517824517,0.0
1006,4,0,meterId201810181724369410103614958750,1.5597043097855192,0.0
782,4,0,meterId201808301230120970103227256331,1.5578124834101181,0.0
222,4,3,meterId201712051816302000103052906168,1.5490227288103227,0.0
872,4,0,meterId201809271834582010103392904683,1.5443954279347865,0.0
1050,4,0,meterId201810230118422270103043970366,1.5428582764847867,0.0
877,4,0.0,meterId201809281530272910103864111898,1.540286255635905,0.0
379,4,0,meterId201805121716365660103447038077,1.537296734531105,0.0
944,4,0,meterId201810121558071550103921524423,1.536615362230634,0.0
1051,4,0,meterId201810230120323450103142528015,1.5297857780968003,0.0
489,4,0,meterId201807141227570460103280405863,1.518822615429096,0.0
349,4,0,meterId201804201553511640103824390125,1.5167433049952337,0.0
913,4,0,meterId201810021701482980103868688721,1.511159236022855,0.0
387,4,0,meterId201805171632271110103659810222,1.5090096231419607,0.0
204,4,0,meterId201711242051506920103086249672,1.5080334533583477,0.0
580,4,0,meterId201808090920391290103000001268,1.5063479222245955,0.0
662,4,0,meterId201808090920397010103000001124,1.5059535768756451,0.0
259,4,2,meterId201712291545417130103635957232,1.5047929034368321,0.0
649,4,0,meterId201808090920396340103000000916,1.5039605012596282,0.0
969,4,0,meterId201810161559421730103390092410,1.4996084543950476,0.0
525,4,0,meterId201807251232082310103915817903,1.4968918117732646,0.0
1156,4,0.0,meterId201811121513436030103512002034,1.49627034432479,0.01020408163265306
473,4,0.0,meterId201807091102404860103513036848,1.4889467836879975,0.003105590062111801
1054,4,0.0,meterId201810231637488120103449943342,1.4841164355299032,0.0
180,4,5,meterId201711211926126720103000009975,1.483993111068495,0.0
484,4,0,meterId201807121057487400103342979693,1.4783517967659132,0.0
560,4,0,meterId201808090920390130103000001256,1.4780924023556108,0.0
207,4,0.0,meterId201711251130595200103602361120,1.4764147586118268,0.0
770,4,0,meterId201808271214518670103455256524,1.4745972803816418,0.0
202,4,0,meterId201711241103562660103257923967,1.4705806937966506,0.0
867,4,0,meterId201809271435160820103107730982,1.469810481311879,0.0
1167,4,0,meterId201811141108260180103809658087,1.4624003537125223,0.0
1357,4,0,meterId201812251258165690103580953719,1.457656929638569,0.0
880,4,0,meterId201809290957007990103793663474,1.45736521747797,0.0
982,4,0,meterId201810161626094630103015295891,1.4553112583093184,0.0
397,4,0,meterId201805211633009130103294972539,1.4502653916547021,0.0
631,4,0,meterId201808090920395290103000001128,1.4451322086894736,0.0
1235,4,0,meterId201811261717345520103400358081,1.4446865315810768,0.0
901,4,0,meterId201809301533410790103265058724,1.4432070980698013,0.0
1092,4,0.0,meterId201811011516586840103765413693,1.4375787593441451,0.0
996,4,0,meterId201810161649415670103672118937,1.434280052318019,0.0
871,4,0,meterId201809271828546430103231976136,1.4320993037750622,0.0
1019,4,0,meterId201810191858079800103315953106,1.4309907389112901,0.0
148,4,3.0,meterId201711211926120690103000015283,1.4259969603927964,0.0
119,4,0,meterId201710301805366850103449323412,1.4219361821782337,0.0
1290,4,0,meterId201812071010043360103914635884,1.4213835047353918,0.0
